epoch,train_loss,train_acc
1,2.1315524011168567,0.5232505450778026
2,0.7309222300570033,0.796548795525374
3,0.4602068377138956,0.8687084978504998
4,0.3555533932814445,0.8966216755243374
5,0.31238945152264347,0.9084919199203779
